title,description,categories
Native Son,"Native Son (1940) is a novel written by the American author Richard Wright. It tells the story of 20-year-old Bigger Thomas, a black youth living in utter poverty in a poor area on Chicago's South Side in the 1930s.


----------
Also contained in:
[Early Works](https://openlibrary.org/works/OL506449W)",african american men
Stuart Little,"Stuart Little is no ordinary mouse. Born to a family of humans, he lives in New York City with his parents, his older brother George, and Snowbell the cat. Though he's shy and thoughtful, he's also a true lover of adventure.

Stuart's greatest adventure comes when his best friend, a beautiful little bird named Margalo, disappears from her nest. Determined to track her down, Stuart ventures away from home for the very first time in his life. He finds adventure aplenty. But will he find his friend?",voyages and travels
Cross Fire,"Detective Alex Cross and Bree s wedding plans are put on hold when Alex is called to the scene of a perfectly executed assassination of two of Washington DC s most hated public figures- a corrupt congressman and a scheming lobbyist. All leads Cross finds reach dead-ends and the prospect of finding the killer seems nearly impossible. As more crooked politicians are picked off with simliar long-range shots, public opinion is divided is the elusive marksman a vigilante or a hero? Media coverage of the case explodes and FBI agent Max Siegel battles Alex for jurisdiction. As Alex struggles with the sniper, Siegel, and the wedding, he receives a call from his deadliest adversary, Kyle Craig. The Mastermind is in DC and will not relent until he has eliminated Cross and his family for good.",fiction
The Power and the Glory,"One of Greene’s most powerful novels, the book takes as its theme the era of religious suppression in Mexico during the early 1930’s. An unnamed Catholic priest, an alcoholic with a shameful past in search of either oblivion or redemption, travels through Mexico administering the rites of the church to the poor landless peasants, hunted by a remorseless police officer and always in fear of being betrayed by those he is attempting to help.",anti-clericalism
A Clockwork Orange,"A Clockwork Orange is a dystopian satirical black comedy novel by English writer Anthony Burgess, published in 1962. It is set in a near-future society that has a youth subculture of extreme violence. The teenage protagonist, Alex, narrates his violent exploits and his experiences with state authorities intent on reforming him. The book is partially written in a Russian-influenced argot called ""Nadsat"", which takes its name from the Russian suffix that is equivalent to '-teen' in English. According to Burgess, it was a jeu d'esprit written in just three weeks.

In 2005, A Clockwork Orange was included on Time magazine's list of the 100 best English-language novels written since 1923, and it was named by Modern Library and its readers as one of the 100 best English-language novels of the 20th century. The original manuscript of the book has been kept at McMaster University's William Ready Division of Archives and Research Collections in Hamilton, Ontario, Canada since the institution purchased the documents in 1971. It is considered one of the most influential dystopian books.

----------		
Also contained in:		

[A Clockwork Orange and Honey for the Bears](https://openlibrary.org/works/OL23787405W)
[A Clockwork Orange / The Wanting Seed](https://openlibrary.org/works/OL17306508W)",bible
The Phantom of the Opera,,"paris (france), fiction"
The Martian Chronicles,"This is a collection of science fiction short stories, cleverly cobbled together to form a coherent and very readable novel about a future colonization of Mars. As the stories progress chronologically the author tells how the first humans colonized Mars, initially sharing the planet with a handful of Martians. When Earth is devastated by nuclear war the colony is left to fend for itself and the colonists determine to build a new Earth on Mars.",american science fiction
The Road,"Described as everything from a ""last gasp"" of romantic fiction to a founding text of the Beat Generation movement, this story amounts to a nonfiction novel (as critics were later to describe some works).  Unpublished writer buddies wander from coast to coast in search of whatever they find, eager for experience.  Kerouac's spokesman is Sal Paradise (himself) and real-life friend Neal Casady appears as Dean Moriarty.",beat generation
The Way of All Flesh,"I am the enfant terrible of literature and science. If I cannot, and I know I cannot, get the literary and scientific big-wigs to give me a shilling, I can, and I know I can, heave bricks into the middle of them.' With The Way of All Flesh, Samuel Butler threw a subversive brick at the smug face of Victorian domesticity. Published in 1903, a year after Butler's death, the novel is a thinly disguised account of his own childhood and youth 'in the bosom of a Christian family'. With irony, wit and sometimes rancour, he savaged contemporary values and beliefs, turning inside-out the conventional novel of a family's life through several generations.",conflict of generations
Diary of a Wimpy Kid: The Long Haul,,none
Villette,"**In time for the 200th anniversary of her birth, a Penguin Hardcover Classics edition of the book many believe to be Charlotte Brontë's crowning achievement.**

With neither friends nor family, Lucy Snowe sets sail from England to find employment in a girls' boarding school in the small town of Villette. There she struggles to retain her self-possession in the face of unruly pupils, an initially suspicious headmaster, and her own complex feelings, first for the school's English doctor and then for the dictatorial professor Paul Emmanuel. Drawing on her own deeply unhappy experiences as a governess in Brussels, Charlotte Brontë's last and most autobiographical novel is a powerfully moving study of isolation and the pain of unrequited love. 

For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",fiction
The Curious Incident of the Dog In the Night-Time,"This is Christopher's murder mystery story. There are no lies in this story because Christopher can't tell lies. Christopher does not like strangers or the colours yellow or brown or being touched. On the other hand, he knows all the countries in the world and their capital cities and every prime number up to 7507. When Christohper decides to find out who killed the neighbour's dog, his mystery story becomes more complicated than he could ever have predicted.","england, fiction"
The Mysterious Island,"Splursh! Ka-thoom! Eric, Julie, and Neal are sailing with Princess Keeah. Suddenly, they are caught in the middle of a magical ocean storm. They are shipwrecked on an island that belongs to one of Lord Sparr's witches. Now Eric, Julie, Neal, and Princess Keeah have to get off the island before Lord Sparr gets them!",fantasy fiction
Song of Solomon,"Milkman Dead was born shortly after a neighborhood eccentric hurled himself off a rooftop in a vain attempt at flight. For the rest of his life he, too, will be trying to fly. With this brilliantly imagined novel, Toni Morrison transfigures the coming-of-age story as audaciously as Saul Bellow or Gabriel García Márquez. As she follows Milkman from his rustbelt city to the place of his family’s origins, Morrison introduces an entire cast of strivers and seeresses, liars and assassins, the inhabitants of a fully realized black world.",fiction
Nana,,french fiction
Quo Vadis,"""Rome during the reign of Nero was a glorious place for the emperor and his court; there were grand feasts, tournaments for poets, and exciting games and circuses filling the days and nights. The pageantry and pretentious displays of excess were sufficient to cloy the senses of participants as well as to offend the sensitive."" ""Petronius, a generous and noble Roman, a man of the world much in favor at the court of Nero, is intrigued by a strange tale related by his nephew Marcus Vinitius of his encounter with a mysterious young woman called Ligia with whom Vinitius falls madly in love. Ligia, a captured King's daughter and a one-time hostage of Rome, is now a foster child of a noble Roman household. She is also a Christian."" ""The setting of the narrative was prepared with utmost care. Henryk Sienkiewicz visited the Roman settings many times and was thoroughly educated in the historical background. As an attempt to create the spirit of antiquity, the novel met with unanimous acclaim, which earned the Nobel Prize in literature for the author in 1905. As a vision of ancient Rome and early Christianity it has not yet been surpassed, almost a century later.""--Jacket.",fiction
Main Street,"The first of his major novels of the 1920s, Sinclair Lewis's Main Street satirizes the manners of the American Middle West. Here is the story of Carol Kennicott, who, to be accepted, must adapt to the ways of Gopher Prairie, Minnesota. This groundbreaking novel attacks conformism, commercialism, moneygrubbing, and the decline in what Lewis saw as the American ideals of freedom and respect for individuality.",fiction
Matilda,"No podemos resistirnos a Matilda y recomendar a su autor a los niños que no lo conozcan. Matilda debe poner orden en una escuela poco acogedora porque sus profesores no están a la altura de su profesión. Pero el humor, la ironía y también la ternura harán que la escuela termine siendo un lugar amable donde ayuden a los niños a crecer y a leer. Roald Dahl decía que todos los niños tenían una brasa y que alguien debe encender el fuego y mantenerlo encendido. La escuela tiene este papel que cumplir porque de ello depende la luz del mundo.

Source: [1], back cover


  [1]: https://archive.org/details/matilda00roal",juvenile fiction
Lolita,"Lolita is a 1955 novel written by Russian-American novelist Vladimir Nabokov. The novel is notable for its controversial subject: the protagonist and unreliable narrator, a middle-aged literature professor under the pseudonym Humbert Humbert, is obsessed with a 12-year-old girl, Dolores Haze, whom he sexually molests after he becomes her stepfather. ""Lolita"" is his private nickname for Dolores. The novel was originally written in English and first published in Paris in 1955 by Olympia Press. Later it was translated into Russian by Nabokov himself and published in New York City in 1967 by Phaedra Publishers.

----------
Also contained in:

 - [Собрание сочинений русского периода в пяти томах: Смех в темноте / Lolita](https://openlibrary.org/works/OL22529308W)
 - [Novels 1955-1962](https://openlibrary.org/works/OL20643775W/Novels_1955-1962)
 - [Works: Ada / Lolita](https://openlibrary.org/works/OL17687842W/Ada_Lolita)",erotic fiction
Paper Towns,"One month before graduating from his Central Florida high school, Quentin ""Q"" Jacobsen basks in the predictable boringness of his life until the beautiful and exciting Margo Roth Spiegelman, Q's neighbor and classmate, takes him on a midnight adventure and then mysteriously disappears.",fiction
Sounder,"Angry and humiliated when his sharecropper father is jailed for stealing food for his family, a young black boy grows in courage and understanding by learning to read and through his relationship with his devoted dog Sounder.",children: grades 4-6
"Are You There God? It's Me, Margaret","Are You There God? It's Me, Margaret. is a 1970 novel by Judy Blume, typically categorized as a young adult book. It follows a sixth-grade girl who has grown up without a religious affiliation, due to her parents' interfaith marriage. The novel explores her quest for a single religion, while confronting typical issues faced by early adolescent girls going through puberty, such as buying her first bra, having her first period, and feeling attracted to certain boys. The novel has been frequently challenged since the 1980s for its frank discussions of sexual and religious topics.

In 2010, the book was placed on Time's list of the top 100 fiction books written in English since 1923.",children's middle grade books
The Notebook,"The story of the inner and outer life of Anna, a young writer, single mother and member of the Communist Party, struggling with crises both in her domestic and political life, this book was hailed as a landmark by the Women's Movement.",london (england)
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,"Having run away with her younger brother to live in the Metropolitan Museum of Art, twelve-year-old Claudia strives to keep things in order in their new home and to become a changed person and a heroine to herself.",juvenile fiction
Atlas Shrugged,"Set in a near-future U.S.A. whose economy is collapsing as a result of the mysterious disappearance of leading innovators and industrialists, this novel presents an astounding panorama of human life-from the productive genius who becomes a worthless playboy...to the great steel industrialist who does not know that he is working for his own destruction...to the philosopher who becomes a pirate...to the woman who runs a transcontinental railroad...to the lowest track worker in her train tunnels.

Peopled by larger-than-life heroes and villains, charged with towering questions of good and evil, Atlas Shrugged is a philosophical revolution told in the form of an action thriller.",fiction
The Fountainhead,The Fountainhead is a 1943 novel by Ayn Rand. It was Rand's first major literary success and brought her fame and financial success. More than 6.5 million copies of the book have been sold worldwide.,fiction
Number the Stars,"Ten-year-old Annemarie Johansen and her best friend, Ellen Rosen, often think about life before the war. But it's now 1943, and their life in Copenhagen is filled with school, food shortages, and the Nazi soldiers marching in their town.
The Nazis won't stop. The Jews of Denmark are being ""relocated,"" so Ellen moves in with the Johansens and pretends to be part of the family. Then Annemarie is asked to go on a dangerous mission. Somehow she must find the strength and courage to save her best friend's life. There's no turning back now.",fiction
The Firm,"The Firm is a 1991 legal thriller by American writer John Grisham. It was his second book and the first which gained wide popularity.


----------
Also contained in:

 - [Novels (Firm / Pelican Brief)](https://openlibrary.org/works/OL76969W)
 - [Reader's Digest Condensed Books. Volume 3 1991](https://openlibrary.org/works/OL20544104W)
 - [Selections from Reader's Digest condensed books and other Reader's Digest Publications](https://openlibrary.org/works/OL16059729W)

  [1]: https://www.jgrisham.com/the-firm/",certified public accountants
Swann's Way,,none
Ender's Game,"Ender's Game is a 1985 military science fiction novel by American author Orson Scott Card. Set at an unspecified date in Earth's future, the novel presents an imperiled humankind after two conflicts with the Formics, an insectoid alien species they dub the ""buggers"". In preparation for an anticipated third invasion, children, including the novel's protagonist, Andrew ""Ender"" Wiggin, are trained from a very young age by putting them through increasingly difficult games, including some in zero gravity, where Ender's tactical genius is revealed.

The book originated as a short story of the same name, published in the August 1977 issue of Analog Science Fiction and Fact. The novel was published on January 15, 1985. Later, by elaborating on characters and plotlines depicted in the novel, Card was able to write additional books in the Ender's Game series. Card also released an updated version of Ender's Game in 1991, changing some political facts to reflect the times more accurately (e.g., to include the recent collapse of the Soviet Union and the end of the Cold War). The novel has been translated into 34 languages.

Reception of the book has been mostly positive. It has become suggested reading for many military organizations, including the United States Marine Corps. Ender's Game was recognized as ""best novel"" by the 1985 Nebula Award[3] and the 1986 Hugo Award[4] in the genres of science fiction and fantasy. Its four sequels—Speaker for the Dead (1986), Xenocide (1991), Children of the Mind (1996), and Ender in Exile (2008)—follow Ender's subsequent travels to many different worlds in the galaxy. In addition, the later novella A War of Gifts (2007) and novel Ender's Shadow (1999), plus other novels in the Shadow saga, take place during the same time period as the original.


----------

Contained in:
[Ender's War](https://openlibrary.org/works/OL49619W)
See also:

 - [Ender's Game: 1/2](https://openlibrary.org/works/OL19647657W/Ender's_Game._1_2)

  [1]: http://www.hatrack.com/osc/books/endersgame/",new york times bestseller
The Name of the Rose,,none
A Time to Kill,"A Time to Kill is a 1989 legal thriller and debut novel by American author John Grisham. The novel was rejected by many publishers before Wynwood Press eventually gave it a 5,000-copy printing. When Doubleday published The Firm, Wynwood released a trade paperback of A Time to Kill, which became a bestseller. Dell published the mass market paperback months after the success of The Firm, bringing Grisham to widespread popularity among readers. Doubleday eventually took over the contract for A Time to Kill and released a special hardcover edition.


----------
Also contained in:
[The Pelican Brief / A Time to Kill](https://openlibrary.org/works/OL24697402W)
[The Testament / A Time To Kill](https://openlibrary.org/works/OL20639558W)",african american girls
Water for Elephants,"As a young man, Jacob Jankowski was tossed by fate onto a rickety train that was home to the Benzini Brothers Most Spectacular Show on Earth. It was the early part of the great Depression, and for Jacob, now ninety, the circus world he remembers was both his salvation and a living hell. A veterinary student just shy of a degree, he was put in charge of caring for the circus menagerie. It was there that he met Marlena, the beautiful equestrian star married to August, the charismatic but twisted animal trainer. And he met Rosie, an untrainable elephant who was the great gray hope for this third-rate traveling show. The bond that grew among this unlikely trio was one of love and trust, and, ultimately, it was their only hope for survival.",fiction
The Time Machine,"The Time Traveller, a dreamer obsessed with traveling through time, builds himself a time machine and, much to his surprise, travels over 800,000 years into the future. He lands in the year 802701: the world has been transformed by a society living in apparent harmony and bliss, but as the Traveler stays in the future he discovers a hidden barbaric and depraved subterranean class. Wells's transparent commentary on the capitalist society was an instant bestseller and launched the time-travel genre.",self-experimentation in medicine in fiction
Eragon,"One boy...
One dragon...
A world of adventure.

When Eragon finds a polished blue stone in the forest, he thinks it is the lucky discovery of a poor farm boy; perhaps it will buy his family meat for the winter. But when the stone brings a dragon hatchling, Eragon soon realizes he has stumbled upon a legacy nearly as old as the Empire itself.

Overnight his simple life is shattered, and he is thrust into a perilous new world of destiny, magic, and power. With only an ancient sword and the advice of an old storyteller for guidance, Eragon and the fledgling dragon must navigate the dangerous terrain and dark enemies of an Empire ruled by a king whose evil knows no bounds.

Can Eragon take up the mantle of the legendary Dragon Riders? The fate of the Empire may rest in his hands.",fantasy
The Hitchhiker's Guide to the Galaxy,,"science fiction comic books, strips"
Buddenbrooks,"This epic, sub-titled ‘The Decline of a Family’, was Mann’s first novel, published in 1901. It traces the gradual downfall of a wealthy family over four generations in the city of Lubeck. The novel is widely regarded as a classic portrait of bourgeois society and family life in 19th century Germany.",fiction
A Thousand Splendid Suns,"After 103 weeks on the New York Times bestseller list and with four million copies of The Kite Runner shipped, Khaled Hosseini returns with a beautiful, riveting, and haunting novel that confirms his place as one of the most important literary writers today.

Propelled by the same superb instinct for storytelling that made The Kite Runner a beloved classic, A Thousand Splendid Suns is at once an incredible chronicle of thirty years of Afghan history and a deeply moving story of family, friendship, faith, and the salvation to be found in love.

Born a generation apart and with very different ideas about love and family, Mariam and Laila are two women brought jarringly together by war, by loss and by fate. As they endure the ever escalating dangers around them—in their home as well as in the streets of Kabul—they come to form a bond that makes them both sisters and mother-daughter to each other, and that will ultimately alter the course not just of their own lives but of the next generation. With heart-wrenching power and suspense, Hosseini shows how a woman's love for her family can move her to shocking and heroic acts of self-sacrifice, and that in the end it is love, or even the memory of love, that is often the key to survival.

A stunning accomplishment, A Thousand Splendid Suns is a haunting, heartbreaking, compelling story of an unforgiving time, an unlikely friendship, and an indestructible love.
([source][1])


  [1]: https://khaledhosseini.com/books/a-thousand-splendid-suns/",desertion
The Witch of Blackbird Pond,"Orphaned Kit Tyler knows, as she gazes for the first time at the cold, bleak shores of Connecticut Colony, that her new home will never be like the shimmering Caribbean island she left behind. In her relatives' stern Puritan community, she feels like a tropical bird that has flown to the wrong part of the world, a bird that is now caged and lonely. The only place where Kit feels completely free is in the meadows, where she enjoys the company of the old Quaker woman known as the Witch of Blackbird Pond, and on occasion, her young sailor friend Nat. But when Kit's friendship with the ""witch"" is discovered, Kit is faced with suspicion, fear, and anger. She herself is accused of witchcraft!",children's literature
And Then There Were None,"And Then There Were None is a mystery novel by the English writer Agatha Christie, described by her as the most difficult of her books to write. It was first published in the United Kingdom by the Collins Crime Club on 6 November 1939, as Ten Little Niggers, after the children's counting rhyme and minstrel song, which serves as a major element of the plot. A US edition was released in January 1940 with the title And Then There Were None, which is taken from the last five words of the song. All successive American reprints and adaptations use that title, except for the Pocket Books paperbacks published between 1964 and 1986, which appeared under the title Ten Little Indians. UK editions continued to use the original title until the current definitive title appeared with a reprint of the 1963 Fontana Paperback in 1985.

In 1990 Crime Writers' Association ranked And Then There Were None 19th in their The Top 100 Crime Novels of All Time list. In 1995 in a similar list Mystery Writers of America ranked the novel 10th. In September 2015, to mark her 125th birthday, And Then There Were None was named the ""World's Favourite Christie"" in a vote sponsored by the author's estate. In the ""Binge!"" article of Entertainment Weekly Issue #1343-44 (26 December 2014–3 January 2015), the writers picked And Then There Were None as an ""EW favorite"" on the list of the ""Nine Great Christie Novels"".


----------
Also contained in:

 - [Five Complete Novels of Murder and Detection](https://openlibrary.org/works/OL471812W)
 - [Masterpieces of Murder](https://openlibrary.org/works/OL471974W)
 - [Novels](https://openlibrary.org/works/OL24261345W)
 - [Oeuvres complètes d'Agatha Christie: Volume VII](https://openlibrary.org/works/OL24710553W)
 - [Works](https://openlibrary.org/works/OL17306242W)

  [1]: https://www.agathachristie.com/stories/and-then-there-were-none",roman policier
A Separate Peace,,"world war, 1939-1945"
Breaking Dawn,"When you loved the one who was killing you, it left you no options. How could you run, how could you fight, when doing so would hurt that beloved one? If your life was all you had to give, how could you not give it? If it was someone you truly loved? To be irrevocably in love with a vampire is both fantasy and nightmare woven into a dangerously heightened reality for Bella Swan. Pulled in one direction by her intense passion for Edward Cullen, and in another by her profound connection to werewolf Jacob Black, a tumultuous year of temptation, loss, and strife have led her to the ultimate turning point. Her imminent choice to either join the dark but seductive world of immortals or to pursue a fully human life has become the thread from which the fates of two tribes hangs.Now that Bella has made her decision, a startling chain of unprecedented events is about to unfold with potentially devastating, and unfathomable, consequences. Just when the frayed strands of Bella's life-first discovered in Twilight, then scattered and torn in New Moon and Eclipse-seem ready to heal and knit together, could they be destroyed... forever?The astonishing, breathlessly anticipated conclusion to the Twilight Saga, Breaking Dawn illuminates the secrets and mysteries of this spellbinding romantic epic that has entranced millions.",school stories
As I Lay Dying,"Written in stream-of-consciousness style with multiple narrators, the story follows a journey wherein the family of a dead woman try to transport her body to her birthplace in Mississippi in accordance with her wishes. When a ford across a river is flooded they are forced to take a roundabout route and it becomes a desperate race to complete their mission before the body begins to decompose.",american manuscripts
The Girl Who Played With Fire,,new york times reviewed
Where the Red Fern Grows,"Where the Red Fern Grows is a 1961 children's novel by Wilson Rawls about a boy who buys two hunting dogs.

----------
Also contained in:
[Prentice Hall Literature: Bronze](https://openlibrary.org/works/OL24558491W)",social issues - friendship
Le Morte D'Arthur,"**Le Morte d'Arthur** (originally spelled **Le Morte Darthur**, ungrammatical Middle French for ""The Death of Arthur"") is a 15th-century Middle English prose reworking by Sir Thomas Malory of tales about the legendary King Arthur, Guinevere, Lancelot, Merlin and the Knights of the Round Table—along with their respective folklore. In order to tell a ""complete"" story of Arthur from his conception to his death, Malory compiled, rearranged, interpreted and modified material from various French and English sources. Today, this is one of the best-known works of Arthurian literature. Many authors since the 19th-century revival of the legend have used Malory as their principal source. 

(Source: [Wikipedia](https://en.wikipedia.org/wiki/Le_Morte_d%27Arthur))",arthurian romances
Mockingjay,"Against all odds, Katniss Everdeen has survived the Hunger Games twice. But now that she's made it out of the bloody arena alive, she's still not safe. The Capitol is angry. The Capitol wants revenge. Who do they think should pay for the unrest? Katniss. And what's worse, President Snow has made it clear that no one else is safe either. Not Katniss's family, not her friends, not the people of District 12. Powerful and haunting, this is the thrilling final installment of Suzanne Collins's groundbreaking Hunger Games trilogy. - Publisher.",insurgency
The Pillars of the Earth,"The Pillars of the Earth is a historical novel by Welsh author Ken Follett published in 1989 about the building of a cathedral in the fictional town of Kingsbridge, England. Set in the 12th century, the novel covers the time between the sinking of the White Ship and the murder of Thomas Becket, but focuses primarily on the Anarchy. The book traces the development of Gothic architecture out of the preceding Romanesque architecture, and the fortunes of the Kingsbridge priory and village against the backdrop of historical events of the time.


----------

 See also:

 - [The Pillars of the Earth: 1/2](https://openlibrary.org/works/OL23632562W)
 - [The Pillars of the Earth: 2/2](https://openlibrary.org/works/OL23632516W)",white ship
Persian Letters,,humor
The Client,"In a weedy lot on the outskirts of Memphis, two  boys watch a shiny Lincoln pull up to the  curb...Eleven-year-old Mark Sway and his younger brother  were sharing a forbidden cigarette when a chance  encounter with a suicidal lawyer left Mark knowing  a bloody and explosive secret: the whereabouts of  the most sought-after dead body in America. Now Mark is caught  between a legal system gone mad and a mob killer  desperate to cover up his crime. And his only ally is  a woman named Reggie Love, who has been a lawyer  for all of four years. Prosecutors are  willing to break all the rules to make Mark talk. The  mob will stop at nothing to keep him quiet. And  Reggie will do anything to protect her client --  even take a last, desperate gamble that could win  Mark his freedom... or cost them both their  lives.
([source][1])


  [1]: http://www.jgrisham.com/books/the-client/


----------
Also contained in:

 - [Novels: The Client / The Firm](https://openlibrary.org/works/OL17766481W)
 - [Reader's Digest Condensed Books. Volume 4 1993](https://openlibrary.org/works/OL15150385W)",suicide
Sula,"Two girls who grow up to become women. Two friends who become something worse than enemies. In this brilliantly imagined novel, Toni Morrison tells the story of Nel Wright and Sula Peace, who meet as children in the small town of Medallion, Ohio. Their devotion is fierce enough to withstand bullies and the burden of a dreadful secret. It endures even after Nel has grown up to be a pillar of the black community and Sula has become a pariah. But their friendship ends in an unforgivable betrayal—or does it end? Terrifying, comic, ribald and tragic, Sula is a work that overflows with life.",fiction
Tales of a Fourth Grade Nothing,"Tales of a Fourth Grade Nothing is a children's novel written by American author Judy Blume and published in 1972. It is the first in the Fudge series. The story focuses on a nine-year-old boy named Peter Warren Hatcher and his relationship with his two-and-a-half-year-old brother, Farley Drexel ""Fudge"" Hatcher. 


----------
Also contained in:
[Tales of a Fourth Grade Nothing / Superfudge](https://openlibrary.org/works/OL24313213W)",turtles
The Merry Adventures of Robin Hood of Great Renown In Nottinghamshire,,none
Tortilla Flat,"Adopting the structure and themes of the Arthurian legend, Steinbeck created a ""Camelot"" on a shabby hillside above Monterey on the California coast and peopled it with a colorful band of knights. As Steinbeck chronicles their thoughts and emotions, temptations and lusts, he spins a tale as compelling, and ultimately as touched by sorrow, as the famous legends of the Round Table. This is the first of a trilogy, along with 'Cannery Row' and 'Sweet Thursday.'",poor
"Look Homeward, Angel","An elaborate and moving coming-of-age story about Eugene Gant, a restless and energetic character whose passion to experience life takes him from his small, rural hometown in North Carolina to Harvard University and the city of Boston. The novel's pattern is artfully simple--a small town, a large family, high school and college--yet the characters are monumental in their graphic individuality and personality.",fiction
The Mystery of Edwin Drood,"The Mystery of Edwin Drood is the final, uncompleted novel by Charles Dickens. John Jasper is a choirmaster who is in love with one of his pupils, Rosa Bud. She is the fiancee of his nephew, Edwin Drood. A hot-tempered man from Ceylon also becomes interested in her and he and Drood take an instant dislike to one another. Later, Drood disappears, and as Dickens never finished the novel, Drood's fate remains a mystery indeed.",missing persons
Brideshead Revisited,"The most nostalgic and reflective of Evelyn Waugh's novels, *Brideshead Revisited* looks back to the golden age before the Second World War. It tells the story of Charles Ryder's infatuation with the Marchmains and the rapidly-disappearing world of privilege they inhabit. Enchanted first by Sebastian at Oxford, then by his doomed Catholic family, in particular his remote sister, Julia, Charles comes finally to recognize only his spiritual and social distance from them.",catholics
The Pelican Brief,"The Pelican Brief is a legal-suspense thriller by John Grisham, published in 1992 by Doubleday. It is his third novel after A Time to Kill and The Firm. 


----------
Also contained in:

 - [Best Sellers](https://openlibrary.org/works/OL15134121W/Best_Sellers)
 - [Novels (Firm / Pelican Brief)](https://openlibrary.org/works/OL76969W)
 - [The Pelican Brief / A Time to Kill](https://openlibrary.org/works/OL24697402W)
 - [Reader's Digest Condensed Books. Volume 5 1992](https://openlibrary.org/works/OL15165175W)",white house chief of staff
Atonement,"Atonement is a 2001 British metafiction novel written by Ian McEwan. Set in three time periods, 1935 England, Second World War England and France, and present-day England, it covers an upper-class girl's half-innocent mistake that ruins lives, her adulthood in the shadow of that mistake, and a reflection on the nature of writing.

Widely regarded as one of McEwan's best works, it was shortlisted for the 2001 Booker Prize for fiction. In 2010, Time magazine named Atonement in its list of the 100 greatest English-language novels since 1923.",historical romance
